DUID,Pickle_Site_Name,Excel_Site_Name,Pickle_Region,Excel_Region,Pickle_Owner,Excel_Owner,Pickle_Capacity_MW,Excel_Capacity_MW,Pickle_Storage_MWh,Excel_Storage_MWh,Pickle_Fuel,Excel_Fuel,Differences
ADPBA1,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,7.76,7.76,12.6,12.6,Battery Storage,Other - Other,Fuel
ADPPV1,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,11.0,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
ADPPV2,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,13.75,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
ADPPV3,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,0.02,0.02,0.0,,Solar,Solar - Solar,Fuel
ADVMH1,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,1.0,1.0,0.0,,Water,Hydro - Water,Fuel
AGLHAL,Hallett GT,Hallett GT,SA1,SA1,EnergyAustralia Hallett Pty Ltd,EnergyAustralia Hallett Pty Ltd,276.86,17.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,"Capacity(MW), Fuel"
AGLSOM,Somerton,Somerton,VIC1,VIC1,AGL Hydro partnership,AGL Hydro partnership,170.0,42.5,0.0,,OCGT,Fossil - Natural Gas Pipeline,"Capacity(MW), Fuel"
ALDGASF1,Aldoga Solar Farm,Aldoga Solar Farm,QLD1,QLD1,Acciona Energy Australia Global Pty Ltd,Acciona Energy Australia Global Pty Ltd,387.01,2.47,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
ANGAST1,Angaston,Angaston,SA1,SA1,Snowy Hydro Ltd,Snowy Hydro Ltd,46.2,15.4,0.0,,Other,Fossil - Diesel,"Capacity(MW), Fuel"
APPIN,Appin,Appin,NSW1,NSW1,EDL CSM NSW Pty Ltd,EDL CSM NSW Pty Ltd,55.62,1.03,0.0,,Gas other,Fossil - Waste Coal Mine Gas,"Capacity(MW), Fuel"
ARWF1,Ararat Wind Farm,Ararat Wind Farm,VIC1,VIC1,Ararat Wind Farm Pty Ltd,Ararat Wind Farm Pty Ltd,240.0,3.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
