start_time,end_time,duration_periods,duration_hours,max_price,min_price,avg_price,total_revenue,start_price,end_price,peak_time,start_hour,start_month,start_year,duration_category
2020-01-04 16:00:00,2020-01-04 16:00:00,1,0.5,2017.52,2017.52,2017.52,1008.76,2017.52,2017.52,2020-01-04 16:00:00,16,1,2020,<30min
2020-01-23 17:30:00,2020-01-23 17:30:00,1,0.5,2286.08,2286.08,2286.08,1143.04,2286.08,2286.08,2020-01-23 17:30:00,17,1,2020,<30min
2020-01-23 19:00:00,2020-01-23 19:00:00,1,0.5,2295.63,2295.63,2295.63,1147.815,2295.63,2295.63,2020-01-23 19:00:00,19,1,2020,<30min
2020-01-30 18:00:00,2020-01-30 18:00:00,1,0.5,1556.43,1556.43,1556.43,778.215,1556.43,1556.43,2020-01-30 18:00:00,18,1,2020,<30min
2020-01-31 16:30:00,2020-01-31 16:30:00,1,0.5,1569.42,1569.42,1569.42,784.71,1569.42,1569.42,2020-01-31 16:30:00,16,1,2020,<30min
2020-01-31 17:30:00,2020-01-31 17:30:00,1,0.5,1609.87,1609.87,1609.87,804.935,1609.87,1609.87,2020-01-31 17:30:00,17,1,2020,<30min
2020-01-31 19:00:00,2020-01-31 19:00:00,1,0.5,1162.85,1162.85,1162.85,581.425,1162.85,1162.85,2020-01-31 19:00:00,19,1,2020,<30min
2020-10-13 10:00:00,2020-10-13 10:00:00,1,0.5,2178.89,2178.89,2178.89,1089.445,2178.89,2178.89,2020-10-13 10:00:00,10,10,2020,<30min
2020-11-16 13:30:00,2020-11-16 13:30:00,1,0.5,1885.87,1885.87,1885.87,942.935,1885.87,1885.87,2020-11-16 13:30:00,13,11,2020,<30min
2020-11-17 13:30:00,2020-11-17 13:30:00,1,0.5,1848.38,1848.38,1848.38,924.19,1848.38,1848.38,2020-11-17 13:30:00,13,11,2020,<30min
2020-11-26 17:00:00,2020-11-26 17:00:00,1,0.5,2467.39,2467.39,2467.39,1233.695,2467.39,2467.39,2020-11-26 17:00:00,17,11,2020,<30min
2020-12-20 16:30:00,2020-12-20 16:30:00,1,0.5,2337.53,2337.53,2337.53,1168.765,2337.53,2337.53,2020-12-20 16:30:00,16,12,2020,<30min
2021-01-24 17:00:00,2021-01-24 17:00:00,1,0.5,2387.21,2387.21,2387.21,1193.605,2387.21,2387.21,2021-01-24 17:00:00,17,1,2021,<30min
2021-02-09 19:00:00,2021-02-09 19:00:00,1,0.5,1836.24,1836.24,1836.24,918.12,1836.24,1836.24,2021-02-09 19:00:00,19,2,2021,<30min
2021-02-22 19:00:00,2021-02-22 19:00:00,1,0.5,2360.18,2360.18,2360.18,1180.09,2360.18,2360.18,2021-02-22 19:00:00,19,2,2021,<30min
2021-03-05 19:00:00,2021-03-05 19:00:00,1,0.5,2512.61,2512.61,2512.61,1256.305,2512.61,2512.61,2021-03-05 19:00:00,19,3,2021,<30min
2021-03-08 18:00:00,2021-03-08 18:00:00,1,0.5,2515.68,2515.68,2515.68,1257.84,2515.68,2515.68,2021-03-08 18:00:00,18,3,2021,<30min
2021-03-09 19:00:00,2021-03-09 19:00:00,1,0.5,2371.43,2371.43,2371.43,1185.715,2371.43,2371.43,2021-03-09 19:00:00,19,3,2021,<30min
2021-03-14 19:00:00,2021-03-14 19:00:00,1,0.5,2004.84,2004.84,2004.84,1002.42,2004.84,2004.84,2021-03-14 19:00:00,19,3,2021,<30min
2021-04-09 15:00:00,2021-04-09 15:00:00,1,0.5,1665.83,1665.83,1665.83,832.915,1665.83,1665.83,2021-04-09 15:00:00,15,4,2021,<30min
2021-04-10 16:30:00,2021-04-10 16:30:00,1,0.5,1665.5,1665.5,1665.5,832.75,1665.5,1665.5,2021-04-10 16:30:00,16,4,2021,<30min
