start_time,end_time,duration_periods,duration_hours,max_price,min_price,avg_price,total_revenue,start_price,end_price,peak_time,start_hour,start_month,start_year,duration_category
2020-01-30 17:00:00,2020-01-30 19:00:00,5,2.5,12217.13,2093.95,6537.836,16344.59,2192.56,12217.13,2020-01-30 19:00:00,17,1,2020,2-4h
2020-01-31 14:00:00,2020-01-31 14:00:00,1,0.5,9832.06,9832.06,9832.06,4916.03,9832.06,9832.06,2020-01-31 14:00:00,14,1,2020,<30min
2020-02-13 08:30:00,2020-02-13 08:30:00,1,0.5,1417.2,1417.2,1417.2,708.6,1417.2,1417.2,2020-02-13 08:30:00,8,2,2020,<30min
2020-02-14 07:30:00,2020-02-14 07:30:00,1,0.5,1563.5,1563.5,1563.5,781.75,1563.5,1563.5,2020-02-14 07:30:00,7,2,2020,<30min
2020-02-14 12:00:00,2020-02-14 12:00:00,1,0.5,1200.67,1200.67,1200.67,600.335,1200.67,1200.67,2020-02-14 12:00:00,12,2,2020,<30min
2020-02-17 17:00:00,2020-02-17 17:00:00,1,0.5,4226.99,4226.99,4226.99,2113.495,4226.99,4226.99,2020-02-17 17:00:00,17,2,2020,<30min
2020-03-02 14:00:00,2020-03-02 14:30:00,2,1.0,7026.84,5063.2,6045.02,6045.02,5063.2,7026.84,2020-03-02 14:30:00,14,3,2020,30min-1h
2020-06-09 18:00:00,2020-06-09 18:00:00,1,0.5,2549.63,2549.63,2549.63,1274.815,2549.63,2549.63,2020-06-09 18:00:00,18,6,2020,<30min
2020-06-10 18:00:00,2020-06-10 18:00:00,1,0.5,1093.84,1093.84,1093.84,546.92,1093.84,1093.84,2020-06-10 18:00:00,18,6,2020,<30min
2020-08-24 18:30:00,2020-08-24 18:30:00,1,0.5,1886.65,1886.65,1886.65,943.325,1886.65,1886.65,2020-08-24 18:30:00,18,8,2020,<30min
2021-01-22 04:00:00,2021-01-22 04:00:00,1,0.5,5031.04,5031.04,5031.04,2515.52,5031.04,5031.04,2021-01-22 04:00:00,4,1,2021,<30min
2021-01-24 17:30:00,2021-01-24 17:30:00,1,0.5,1466.51,1466.51,1466.51,733.255,1466.51,1466.51,2021-01-24 17:30:00,17,1,2021,<30min
2021-01-24 19:00:00,2021-01-24 19:00:00,1,0.5,1985.76,1985.76,1985.76,992.88,1985.76,1985.76,2021-01-24 19:00:00,19,1,2021,<30min
2021-03-12 18:00:00,2021-03-12 21:30:00,8,4.0,14348.15,1087.16,4417.44625,17669.785,1087.16,2206.08,2021-03-12 20:00:00,18,3,2021,2-4h
2021-03-12 22:30:00,2021-03-13 00:00:00,4,2.0,12222.58,1938.67,6838.8324999999995,13677.664999999999,1938.67,7885.34,2021-03-12 23:00:00,22,3,2021,1-2h
2021-05-12 18:00:00,2021-05-12 18:00:00,1,0.5,2950.6,2950.6,2950.6,1475.3,2950.6,2950.6,2021-05-12 18:00:00,18,5,2021,<30min
2021-05-17 18:00:00,2021-05-17 18:00:00,1,0.5,5673.27,5673.27,5673.27,2836.635,5673.27,5673.27,2021-05-17 18:00:00,18,5,2021,<30min
2021-05-18 17:30:00,2021-05-18 18:30:00,3,1.5,7038.75,2898.82,5119.166666666667,7678.75,2898.82,7038.75,2021-05-18 18:30:00,17,5,2021,1-2h
