start_time,end_time,duration_periods,duration_hours,max_price,min_price,avg_price,total_revenue,start_price,end_price,peak_time,start_hour,start_month,start_year,duration_category
2020-01-30 17:00:00,2020-01-30 19:00:00,5,2.5,11948.35,1958.14,6343.15,15857.875,2122.89,11948.35,2020-01-30 19:00:00,17,1,2020,2-4h
2020-01-31 15:00:00,2020-01-31 19:00:00,9,4.5,14700.0,7322.47,11252.233333333334,50635.05,10033.56,9821.81,2020-01-31 15:30:00,15,1,2020,4-8h
2020-06-09 18:00:00,2020-06-09 18:00:00,1,0.5,2303.31,2303.31,2303.31,1151.655,2303.31,2303.31,2020-06-09 18:00:00,18,6,2020,<30min
2020-06-10 18:00:00,2020-06-10 18:00:00,1,0.5,1086.56,1086.56,1086.56,543.28,1086.56,1086.56,2020-06-10 18:00:00,18,6,2020,<30min
2020-08-24 18:30:00,2020-08-24 18:30:00,1,0.5,1837.24,1837.24,1837.24,918.62,1837.24,1837.24,2020-08-24 18:30:00,18,8,2020,<30min
2021-05-12 18:00:00,2021-05-12 18:00:00,1,0.5,3063.33,3063.33,3063.33,1531.665,3063.33,3063.33,2021-05-12 18:00:00,18,5,2021,<30min
2021-05-17 18:00:00,2021-05-17 18:00:00,1,0.5,6014.49,6014.49,6014.49,3007.245,6014.49,6014.49,2021-05-17 18:00:00,18,5,2021,<30min
2021-05-18 17:30:00,2021-05-18 18:30:00,3,1.5,7443.23,3278.92,5558.473333333332,8337.71,3278.92,7443.23,2021-05-18 18:30:00,17,5,2021,1-2h
2021-05-30 18:30:00,2021-05-30 19:00:00,2,1.0,2224.28,1703.36,1963.8200000000002,1963.8200000000002,2224.28,1703.36,2021-05-30 18:30:00,18,5,2021,30min-1h
2021-06-21 17:30:00,2021-06-21 18:00:00,2,1.0,2642.65,1876.67,2259.66,2259.66,2642.65,1876.67,2021-06-21 17:30:00,17,6,2021,30min-1h
2021-07-06 18:00:00,2021-07-06 18:00:00,1,0.5,2618.09,2618.09,2618.09,1309.045,2618.09,2618.09,2021-07-06 18:00:00,18,7,2021,<30min
2022-01-31 16:30:00,2022-01-31 16:30:00,1,0.5,1284.09,1284.09,1284.09,642.045,1284.09,1284.09,2022-01-31 16:30:00,16,1,2022,<30min
2022-01-31 17:30:00,2022-01-31 18:00:00,7,3.5,15100.0,3932.27,12689.497142857143,44413.24,3932.27,15100.0,2022-01-31 18:00:00,17,1,2022,2-4h
2022-04-04 18:20:00,2022-04-04 18:25:00,2,1.0,2001.49,1311.45,1656.47,1656.47,2001.49,1311.45,2022-04-04 18:20:00,18,4,2022,30min-1h
2022-05-05 17:50:00,2022-05-05 17:50:00,1,0.5,1016.99,1016.99,1016.99,508.495,1016.99,1016.99,2022-05-05 17:50:00,17,5,2022,<30min
2022-05-09 17:20:00,2022-05-09 17:25:00,2,1.0,1016.99,1016.99,1016.99,1016.99,1016.99,1016.99,2022-05-09 17:20:00,17,5,2022,30min-1h
2022-05-09 17:40:00,2022-05-09 17:50:00,3,1.5,4452.38,1016.99,2574.866666666667,3862.3,4452.38,1016.99,2022-05-09 17:40:00,17,5,2022,1-2h
2022-05-23 17:30:00,2022-05-23 17:30:00,1,0.5,1010.15,1010.15,1010.15,505.075,1010.15,1010.15,2022-05-23 17:30:00,17,5,2022,<30min
2022-05-30 10:35:00,2022-05-30 10:35:00,1,0.5,1018.35,1018.35,1018.35,509.175,1018.35,1018.35,2022-05-30 10:35:00,10,5,2022,<30min
